sourceOccurrenceId	sourceTaxonId	sourceTaxonName	sourceTaxonKingdomName	sourceTaxonPhylumName	sourceTaxonClassName	sourceTaxonOrderName	sourceTaxonFamilyName	sourceTaxonGenusName	sourceTaxonSpecificEpithetName	sourceTaxonSubspecificEpithetName	sourceBodyPartId	sourceBodyPartName	sourceLifeStageId	sourceLifeStageName	sourcePhysiologicalStateId	sourcePhysiologicalStateName	interactionTypeId	interactionTypeName	targetOccurrenceId	targetTaxonId	targetTaxonName	targetTaxonKingdomName	targetTaxonPhylumName	targetTaxonClassName	targetTaxonOrderName	targetTaxonFamilyName	targetTaxonGenusName	targetTaxonSpecificEpithetName	targetTaxonSubspecificEpithetName	targetBodyPartId	targetBodyPartName	targetLifeStageId	targetLifeStageName	targetPhysiologicalStateId	targetPhysiologicalStateName	habitatId	habitatName	localityId	localityName	decimalLatitude	decimalLongitude	depth	altitude	observationDateTime	observedDateTimeString	referenceDoi	referenceUrl	referenceCitation
	https://www.wikidata.org/wiki/Q15487737	Desmodium uncinatum	Chloroplastida	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Desmodium									http://purl.obolibrary.org/obo/RO_0002555	allelopathOf		https://www.wikidata.org/wiki/Q3500415	Striga hermonthica	Chloroplastida	Streptophyta	Magnoliopsida	Lamiales	Orobanchaceae	Striga									http://purl.obolibrary.org/obo/ENVO_00000114	agricultural fields	https://www.geonames.org/187025	Mbita, Kenya	-0.4166666667	34.2			2014	Long and short rainy seasons, 2014	10.1016/j.phytochem.2015.06.026		Hooper AM, Caulfield JC, Hao B, Pickett JA, Midega CAO, Khan ZR (2015). Isolation and identification of Desmodium root exudates from drought tolerant species used as intercrops against Striga hermonthica. Phytochemistry,117:380-387
	https://www.wikidata.org/wiki/Q15240093	Desmodium intortum	Chloroplastida	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Desmodium									http://purl.obolibrary.org/obo/RO_0002555	allelopathOf		https://www.wikidata.org/wiki/Q3500415	Striga hermonthica	Chloroplastida	Streptophyta	Magnoliopsida	Lamiales	Orobanchaceae	Striga									http://purl.obolibrary.org/obo/ENVO_00000114	agricultural fields	https://www.geonames.org/187025	Mbita, Kenya	-0.4166666667	34.2			2014	Long and short rainy seasons, 2014	10.1016/j.phytochem.2015.06.026		Hooper AM, Caulfield JC, Hao B, Pickett JA, Midega CAO, Khan ZR (2015). Isolation and identification of Desmodium root exudates from drought tolerant species used as intercrops against Striga hermonthica. Phytochemistry,117:380-387
	https://www.wikidata.org/wiki/Q2717285	Desmodium incanum	Chloroplastida	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Desmodium									http://purl.obolibrary.org/obo/RO_0002555	allelopathOf		https://www.wikidata.org/wiki/Q3500415	Striga hermonthica	Chloroplastida	Streptophyta	Magnoliopsida	Lamiales	Orobanchaceae	Striga									http://purl.obolibrary.org/obo/ENVO_00000114	agricultural fields	https://www.geonames.org/187025	Mbita, Kenya	-0.4166666667	34.2			2014	Long and short rainy seasons, 2014	10.1016/j.phytochem.2015.06.026		Hooper AM, Caulfield JC, Hao B, Pickett JA, Midega CAO, Khan ZR (2015). Isolation and identification of Desmodium root exudates from drought tolerant species used as intercrops against Striga hermonthica. Phytochemistry,117:380-387
	https://www.wikidata.org/wiki/Q15487109	Desmodium ramosissimum	Chloroplastida	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Desmodium									http://purl.obolibrary.org/obo/RO_0002555	allelopathOf		https://www.wikidata.org/wiki/Q3500415	Striga hermonthica	Chloroplastida	Streptophyta	Magnoliopsida	Lamiales	Orobanchaceae	Striga									http://purl.obolibrary.org/obo/ENVO_00000114	agricultural fields	https://www.geonames.org/187025	Mbita, Kenya	-0.4166666667	34.2			2014	Long and short rainy seasons, 2014	10.1016/j.phytochem.2015.06.026		Hooper AM, Caulfield JC, Hao B, Pickett JA, Midega CAO, Khan ZR (2015). Isolation and identification of Desmodium root exudates from drought tolerant species used as intercrops against Striga hermonthica. Phytochemistry,117:380-387
	https://www.wikidata.org/wiki/Q21258011	Desmodium repandum	Chloroplastida	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Desmodium									http://purl.obolibrary.org/obo/RO_0002555	allelopathOf		https://www.wikidata.org/wiki/Q3500415	Striga hermonthica	Chloroplastida	Streptophyta	Magnoliopsida	Lamiales	Orobanchaceae	Striga									http://purl.obolibrary.org/obo/ENVO_00000114	agricultural fields	https://www.geonames.org/187025	Mbita, Kenya	-0.4166666667	34.2			2014	Long and short rainy seasons, 2014	10.1016/j.phytochem.2015.06.026		Hooper AM, Caulfield JC, Hao B, Pickett JA, Midega CAO, Khan ZR (2015). Isolation and identification of Desmodium root exudates from drought tolerant species used as intercrops against Striga hermonthica. Phytochemistry,117:380-387
	https://www.wikidata.org/wiki/Q15487737	Desmodium uncinatum	Chloroplastida	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Desmodium									http://purl.obolibrary.org/obo/RO_0002555	allelopathOf		https://www.wikidata.org/wiki/Q12111	Sorghum	Chloroplastida	Streptophyta	Magnoliopsida	Poales	Poaceae	Sorghum									http://purl.obolibrary.org/obo/ENVO_00000114	agricultural fields	https://www.geonames.org/187025	Mbita, Kenya	-0.4166666667	34.2			2014	Long and short rainy seasons, 2014	10.1016/j.phytochem.2015.06.026		Hooper AM, Caulfield JC, Hao B, Pickett JA, Midega CAO, Khan ZR (2015). Isolation and identification of Desmodium root exudates from drought tolerant species used as intercrops against Striga hermonthica. Phytochemistry,117:380-387
	https://www.wikidata.org/wiki/Q15240093	Desmodium intortum	Chloroplastida	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Desmodium									http://purl.obolibrary.org/obo/RO_0002555	allelopathOf		https://www.wikidata.org/wiki/Q12111	Sorghum	Chloroplastida	Streptophyta	Magnoliopsida	Poales	Poaceae	Sorghum									http://purl.obolibrary.org/obo/ENVO_00000114	agricultural fields	https://www.geonames.org/187025	Mbita, Kenya	-0.4166666667	34.2			2014	Long and short rainy seasons, 2014	10.1016/j.phytochem.2015.06.026		Hooper AM, Caulfield JC, Hao B, Pickett JA, Midega CAO, Khan ZR (2015). Isolation and identification of Desmodium root exudates from drought tolerant species used as intercrops against Striga hermonthica. Phytochemistry,117:380-387
	https://www.wikidata.org/wiki/Q2717285	Desmodium incanum	Chloroplastida	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Desmodium									http://purl.obolibrary.org/obo/RO_0002555	allelopathOf		https://www.wikidata.org/wiki/Q12111	Sorghum	Chloroplastida	Streptophyta	Magnoliopsida	Poales	Poaceae	Sorghum									http://purl.obolibrary.org/obo/ENVO_00000114	agricultural fields	https://www.geonames.org/187025	Mbita, Kenya	-0.4166666667	34.2			2014	Long and short rainy seasons, 2014	10.1016/j.phytochem.2015.06.026		Hooper AM, Caulfield JC, Hao B, Pickett JA, Midega CAO, Khan ZR (2015). Isolation and identification of Desmodium root exudates from drought tolerant species used as intercrops against Striga hermonthica. Phytochemistry,117:380-387
	https://www.wikidata.org/wiki/Q15487109	Desmodium ramosissimum	Chloroplastida	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Desmodium									http://purl.obolibrary.org/obo/RO_0002555	allelopathOf		https://www.wikidata.org/wiki/Q12111	Sorghum	Chloroplastida	Streptophyta	Magnoliopsida	Poales	Poaceae	Sorghum									http://purl.obolibrary.org/obo/ENVO_00000114	agricultural fields	https://www.geonames.org/187025	Mbita, Kenya	-0.4166666667	34.2			2014	Long and short rainy seasons, 2014	10.1016/j.phytochem.2015.06.026		Hooper AM, Caulfield JC, Hao B, Pickett JA, Midega CAO, Khan ZR (2015). Isolation and identification of Desmodium root exudates from drought tolerant species used as intercrops against Striga hermonthica. Phytochemistry,117:380-387
	https://www.wikidata.org/wiki/Q21258011	Desmodium repandum	Chloroplastida	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Desmodium									http://purl.obolibrary.org/obo/RO_0002555	allelopathOf		https://www.wikidata.org/wiki/Q12111	Sorghum	Chloroplastida	Streptophyta	Magnoliopsida	Poales	Poaceae	Sorghum									http://purl.obolibrary.org/obo/ENVO_00000114	agricultural fields	https://www.geonames.org/187025	Mbita, Kenya	-0.4166666667	34.2			2014	Long and short rainy seasons, 2014	10.1016/j.phytochem.2015.06.026		Hooper AM, Caulfield JC, Hao B, Pickett JA, Midega CAO, Khan ZR (2015). Isolation and identification of Desmodium root exudates from drought tolerant species used as intercrops against Striga hermonthica. Phytochemistry,117:380-387
